subject,age,gender,sleep,satiated,feeling,energy,caffeine.regular,caffeine.last,like.nature
1,18,Nonbinary,No,Yes,2,3,No,"1 week ago, cappuccino 12oz",Yes
2,22,Female,Yes,Yes,5,4,Sometimes,I usually drink tea more than coffee. I might have up to 2 mugs of black tea per day. Today I only had one hot chocolate and a square of chocolate in terms of caffeine.,Yes
3,18,Nonbinary,No,Yes,4,3,Yes,I had a glass of soda at lunch,Yes
4,20,Female,No,No,4,3,Yes,Yesterday,Yes
5,18,Nonbinary,Yes,Yes,4,3,Yes,"Earl grey tea at around noon, 12 oz",Yes
6,19,Female,Yes,Yes,3,3,Sometimes,"Saturday morning I had a small cup of coffee, maybe like 4oz.",Yes
7,21,Female,No,Yes,4,4,Yes,"Finished a cup of coffee an hour and a half ago, 12oz",Yes
8,21,Female,No,No,2,3,No,Last night it was a milk tea 6oz,Yes
9,20,Female,Yes,Yes,4,4,Yes,16oz dirty chai during lunch,No
10,21,Female,Yes,Yes,3,4,No,"A long time ago, maybe 4 weeks",Yes
11,20,Female,Yes,Yes,5,4,No,3 years ago,Yes
12,18,Nonbinary,No,Yes,4,2,Yes,This morning; a substantial,Yes
13,22,Female,Yes,Yes,2,3,No,none,Yes
14,18,Female,Yes,Yes,3,3,No,Last Thursday. It was the caramel chaider drink from the CC. I think it was 12oz or 16oz (smallest size they offer).,Yes
15,19,Female,Yes,Yes,4,4,No,n/a,No
16,22,Female,Yes,Yes,4,4,Sometimes,"I had a cup of coffee, caffeinated, at a round 12PM",Yes
17,21,Female,Yes,Yes,3,4,Sometimes,I had 12oz matcha latte last afternoon. 20 hours ago.,Yes
18,21,Female,Yes,Yes,4,4,Yes,4 oz coffee yesterday morning,No
19,19,Female,Yes,Yes,4,4,No,don't really remember (IS day coffee),Yes
20,18,Female,No,No,2,2,Yes,I had an energy drink 2 hours ago,No
